GENESIS-Tabelle: 12411-0013
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
31.12.2019;9-Jährige;51870;48921;100791;58856;55995;114851;16931;16067;32998;12141;11225;23366;2982;2863;5845;8380;7948;16328;29324;28138;57462;7344;7093;14437;37040;34914;71954;83468;78400;161868;18489;17376;35865;4011;3914;7925;18856;18089;36945;9348;8997;18345;13375;12660;26035;9570;9176;18746
31.12.2019;10-Jährige;51200;48671;99871;58123;55097;113220;16545;15831;32376;11650;11058;22708;3081;2827;5908;8307;7666;15973;29145;27501;56646;7154;6952;14106;36733;34538;71271;82369;77427;159796;18110;17005;35115;4008;3841;7849;18556;17287;35843;9316;8797;18113;13315;12346;25661;9057;8863;17920
31.12.2019;11-Jährige;52452;50006;102458;59847;56665;116512;16749;15639;32388;11903;11231;23134;2972;2895;5867;8437;7912;16349;29569;28312;57881;7255;6945;14200;37614;35747;73361;85248;80023;165271;18858;17604;36462;4176;3950;8126;18577;17657;36234;9574;9054;18628;13367;13061;26428;9462;8902;18364
31.12.2019;12-Jährige;52483;50340;102823;59572;56677;116249;16277;15069;31346;11574;10978;22552;3133;2979;6112;8281;7644;15925;29863;27928;57791;6979;6657;13636;38050;35495;73545;84752;79857;164609;18777;17461;36238;4151;3860;8011;18073;17087;35160;9257;8732;17989;13773;12939;26712;9317;8655;17972
31.12.2019;13-Jährige;52132;49395;101527;58764;55308;114072;15245;14695;29940;11140;10404;21544;3061;2856;5917;8187;7470;15657;28948;27616;56564;6837;6410;13247;37612;35286;72898;84011;78955;162966;18398;17089;35487;4195;3745;7940;17132;16353;33485;9061;8194;17255;13566;12697;26263;8832;8104;16936
31.12.2019;14-Jährige;53139;50553;103692;59671;56405;116076;15087;14169;29256;10868;10268;21136;3139;2669;5808;8108;7524;15632;29770;27980;57750;6479;6369;12848;38255;36075;74330;85328;79849;165177;18554;17608;36162;4222;3958;8180;17151;16378;33529;8839;8545;17384;13567;12829;26396;8812;8338;17150
31.12.2019;15-Jährige;54565;51174;105739;60669;58298;118967;15090;14241;29331;11129;10323;21452;3001;2813;5814;8010;7489;15499;30186;28444;58630;6875;6531;13406;39483;37554;77037;87165;82012;169177;19262;17723;36985;4328;4002;8330;17316;16567;33883;8981;8372;17353;14162;13357;27519;9139;8562;17701
31.12.2019;16-Jährige;55021;51119;106140;61525;58711;120236;14488;13765;28253;11093;10217;21310;3045;2946;5991;7993;7382;15375;30021;28259;58280;6801;6371;13172;39779;37756;77535;88478;82477;170955;19348;18314;37662;4314;3990;8304;16722;16074;32796;8770;8104;16874;14221;13542;27763;8839;8397;17236
31.12.2019;17-Jährige;56068;52307;108375;62928;59487;122415;14896;13849;28745;10785;10174;20959;3096;2826;5922;7868;7510;15378;30831;28425;59256;6747;6173;12920;41443;38818;80261;90572;84635;175207;19813;18616;38429;4508;4133;8641;16590;15764;32354;9170;8248;17418;14686;13760;28446;8911;8301;17212
31.12.2019;18-Jährige;58427;54182;112609;66023;60801;126824;15012;14472;29484;10748;9706;20454;3533;3194;6727;8268;7930;16198;31992;29257;61249;6966;6369;13335;43099;40205;83304;94088;87109;181197;20853;19382;40235;4686;4311;8997;17349;15811;33160;9277;8349;17626;15187;14288;29475;9132;8508;17640
31.12.2019;19-Jährige;63466;58441;121907;71150;65393;136543;16742;15843;32585;10959;9803;20762;3915;3538;7453;9302;8640;17942;34130;31658;65788;7290;6614;13904;46085;42008;88093;100681;92153;192834;22296;20749;43045;5005;4522;9527;18663;17076;35739;10049;8551;18600;16223;15121;31344;9519;8501;18020
31.12.2019;20-Jährige;67098;59912;127010;76030;67530;143560;17604;17251;34855;10773;9118;19891;4385;4045;8430;9792;9238;19030;35826;32390;68216;7008;6285;13293;47311;41998;89309;103663;94208;197871;22861;20983;43844;5170;4679;9849;18713;16908;35621;9964;8367;18331;16903;15019;31922;9624;8213;17837
31.12.2019;21-Jährige;69507;62095;131602;79821;71047;150868;18596;18717;37313;10271;8709;18980;4927;4031;8958;10543;10281;20824;37502;34005;71507;6762;6179;12941;47943;43336;91279;107134;98014;205148;23313;21792;45105;5352;4644;9996;17889;16593;34482;9346;8430;17776;16405;15058;31463;9338;8322;17660
31.12.2019;22-Jährige;72990;65095;138085;83085;74351;157436;20495;20385;40880;9794;8235;18029;4786;4391;9177;11875;11404;23279;40330;36042;76372;6787;6224;13011;49924;44985;94909;112610;102822;215432;24883;22647;47530;5634;5046;10680;18200;16622;34822;9678;8389;18067;17105;15051;32156;9453;8328;17781
31.12.2019;23-Jährige;72761;65208;137969;82863;74832;157695;21505;21919;43424;9461;7919;17380;4863;4381;9244;12039;12163;24202;39465;36001;75466;6568;5786;12354;49329;44058;93387;112499;103381;215880;24742;22181;46923;5686;5161;10847;17775;16186;33961;9227;7963;17190;16524;15226;31750;8878;8041;16919
31.12.2019;24-Jährige;72353;64678;137031;82479;74861;157340;22596;22947;45543;8485;7335;15820;4727;4474;9201;12362;12475;24837;39155;35704;74859;5913;5407;11320;48246;43261;91507;111061;101740;212801;24020;21786;45806;5619;5052;10671;16910;15125;32035;8682;7354;16036;16099;14652;30751;8602;7263;15865
31.12.2019;25-Jährige;73329;65830;139159;83819;76410;160229;24067;24517;48584;8099;7073;15172;4904;4468;9372;13073;13363;26436;39554;36652;76206;5640;5008;10648;48806;43528;92334;113369;104261;217630;24628;22541;47169;5647;5374;11021;16608;14799;31407;8331;7166;15497;16483;14801;31284;7974;6910;14884
31.12.2019;26-Jährige;75523;67960;143483;87430;80349;167779;25559;26123;51682;7910;7177;15087;5092;4663;9755;13609;14188;27797;40394;37656;78050;5831;5093;10924;49925;44471;94396;116166;108492;224658;25618;23207;48825;6008;5372;11380;16903;14966;31869;8322;7283;15605;16543;15096;31639;8103;7110;15213
31.12.2019;27-Jährige;76544;68362;144906;88400;82720;171120;26843;27362;54205;8610;7668;16278;5028;4682;9710;14133;14629;28762;40860;38030;78890;6268;5739;12007;49487;44600;94087;117307;109743;227050;25697;23841;49538;6115;5633;11748;17307;15626;32933;8633;7740;16373;16644;15296;31940;8395;7573;15968
31.12.2019;28-Jährige;77596;70933;148529;91535;83480;175015;29080;29125;58205;9513;8936;18449;5219;4774;9993;15014;15385;30399;41733;39400;81133;6901;6383;13284;49823;45339;95162;119021;112398;231419;26543;24124;50667;6289;5627;11916;19637;17833;37470;9549;8577;18126;16978;15658;32636;9462;8449;17911
31.12.2019;29-Jährige;81136;74004;155140;95836;88107;183943;33787;33672;67459;13961;13244;27205;5438;4819;10257;16174;16471;32645;43933;41527;85460;10009;9387;19396;52304;47370;99674;123545;116366;239911;27357;24897;52254;6438;5872;12310;27648;24933;52581;13796;11962;25758;17908;16513;34421;13281;11773;25054
31.12.2019;30-Jährige;79455;72343;151798;92538;86478;179016;34216;34146;68362;14840;14209;29049;5287;4865;10152;15960;16239;32199;43473;41040;84513;10625;9822;20447;50974;46544;97518;119058;113603;232661;26681;24575;51256;6304;5706;12010;28637;25665;54302;14057;12639;26696;17390;16248;33638;13368;12242;25610
31.12.2019;31-Jährige;80929;73670;154599;94995;87839;182834;34738;34343;69081;15759;14953;30712;5304;4958;10262;16157;16403;32560;44078;41225;85303;11180;10209;21389;52000;47932;99932;121091;115453;236544;27360;25132;52492;6411;5918;12329;29180;26520;55700;14608;13132;27740;18054;16647;34701;14395;13009;27404
31.12.2019;32-Jährige;77503;71074;148577;92261;85204;177465;34262;33320;67582;15982;15604;31586;5039;4771;9810;15716;15600;31316;42357;40432;82789;11355;10441;21796;50665;47192;97857;118090;112951;231041;26225;24770;50995;6275;5838;12113;29735;26923;56658;14514;13173;27687;17609;16456;34065;14577;13096;27673
31.12.2019;33-Jährige;76304;71236;147540;90919;84995;175914;33210;32024;65234;15770;15446;31216;4906;4588;9494;15295;15065;30360;41557;39974;81531;10899;10174;21073;49324;46626;95950;114937;111807;226744;25830;24563;50393;6172;5756;11928;28227;25966;54193;14148;12833;26981;16866;16371;33237;14275;12637;26912
31.12.2019;34-Jährige;73793;68817;142610;86861;82145;169006;32356;30946;63302;16372;15570;31942;4742;4388;9130;14531;14797;29328;40145;38407;78552;10780;10084;20864;46823;45683;92506;110233;108024;218257;24736;23589;48325;5851;5461;11312;28664;25685;54349;14106;12617;26723;16195;16032;32227;14171;12597;26768
31.12.2019;35-Jährige;73187;68751;141938;86356;82426;168782;31338;29619;60957;16039;15518;31557;4491;4293;8784;14446;14425;28871;40066;39309;79375;10660;9866;20526;46705;44783;91488;109540;107536;217076;24708;23784;48492;5746;5513;11259;27785;25342;53127;14026;12718;26744;16131;16127;32258;14228;12624;26852
31.12.2019;36-Jährige;71685;68912;140597;86772;82977;169749;30306;29104;59410;16274;15647;31921;4576;4409;8985;14096;14218;28314;39608;39187;78795;10759;9880;20639;46593;45882;92475;109365;108161;217526;24644;23941;48585;5836;5552;11388;28117;25386;53503;14263;12674;26937;16442;16489;32931;14284;12723;27007
31.12.2019;37-Jährige;73361;70451;143812;88104;85673;173777;30141;28626;58767;16779;15916;32695;4643;4443;9086;14098;14172;28270;40775;40630;81405;10952;9963;20915;47287;46858;94145;111420;110973;222393;25338;24563;49901;5979;5698;11677;28613;25341;53954;14130;12504;26634;16790;17340;34130;14659;12948;27607
31.12.2019;38-Jährige;72407;70393;142800;87099;85651;172750;29004;28311;57315;16564;15784;32348;4499;4147;8646;13864;14413;28277;40093;40988;81081;10661;9564;20225;47074;47285;94359;109825;110559;220384;25159;24983;50142;5975;5542;11517;27772;24631;52403;14005;12358;26363;16727;17359;34086;14212;12571;26783
31.12.2019;39-Jährige;72623;71028;143651;86285;85228;171513;28709;27154;55863;17209;16282;33491;4365;4133;8498;13956;14121;28077;40622;41054;81676;10734;9928;20662;47123;47952;95075;109887;111742;221629;24463;24660;49123;5923;5666;11589;28319;25275;53594;14283;12700;26983;16979;17837;34816;14560;12915;27475
31.12.2019;40-Jährige;67754;67340;135094;82662;81707;164369;26396;25283;51679;16599;15626;32225;4206;3884;8090;12990;13103;26093;38862;39571;78433;10704;9485;20189;45298;45672;90970;103567;106288;209855;23720;23614;47334;5401;5594;10995;27361;23977;51338;13698;12045;25743;16204;16928;33132;13948;12331;26279
31.12.2019;41-Jährige;66534;65526;132060;80946;80718;161664;25424;23980;49404;16452;15795;32247;4140;3868;8008;12832;12630;25462;38449;39103;77552;10533;9404;19937;45214;45427;90641;102405;104919;207324;23464;23251;46715;5196;5433;10629;27110;24274;51384;13526;12106;25632;16499;16788;33287;13543;11939;25482
31.12.2019;42-Jährige;66151;65126;131277;81057;79710;160767;24476;23486;47962;15911;15182;31093;3949;3947;7896;12556;12358;24914;37687;38888;76575;10335;9030;19365;44874;45125;89999;103231;104572;207803;22963;23332;46295;5303;5470;10773;26654;23539;50193;13076;11612;24688;16167;16873;33040;13193;11790;24983
31.12.2019;43-Jährige;66538;65195;131733;80174;79165;159339;23155;22595;45750;14607;13787;28394;4027;3913;7940;12249;12427;24676;37889;38782;76671;9028;7947;16975;44968;45470;90438;102874;105507;208381;22821;22926;45747;5164;5145;10309;23449;21219;44668;11652;10389;22041;16317;17064;33381;11803;10639;22442
31.12.2019;44-Jährige;64881;64466;129347;78486;77867;156353;22303;21305;43608;14028;13027;27055;3970;3901;7871;11805;11604;23409;37266;37456;74722;8556;7516;16072;44145;44157;88302;100658;102773;203431;22386;22664;45050;5092;5026;10118;22600;20018;42618;11233;9839;21072;16083;16562;32645;11507;10092;21599
31.12.2019;45-Jährige;66073;66228;132301;79493;79180;158673;21676;20843;42519;13496;12911;26407;3968;3731;7699;11869;11559;23428;37933;38049;75982;8350;7418;15768;45115;45990;91105;101567;104550;206117;22359;23060;45419;5096;5234;10330;22454;19669;42123;11364;10331;21695;16064;16546;32610;11872;10414;22286
31.12.2019;46-Jährige;65785;65709;131494;79145;78837;157982;20842;20337;41179;13731;13248;26979;3914;3868;7782;11332;11502;22834;37831;38366;76197;8528;7713;16241;45893;47004;92897;102932;105620;208552;23042;23348;46390;5130;5255;10385;22560;19910;42470;11962;10630;22592;16607;17142;33749;12194;10912;23106
31.12.2019;47-Jährige;70982;70790;141772;85032;85002;170034;21738;20951;42689;15502;14394;29896;4166;4058;8224;11943;11797;23740;40424;40867;81291;9220;8499;17719;50560;50859;101419;111544;113501;225045;24913;25581;50494;5621;5816;11437;24807;21699;46506;13609;12341;25950;18010;18655;36665;13868;12048;25916
31.12.2019;48-Jährige;76598;75557;152155;92019;91396;183415;23928;22944;46872;18039;16935;34974;4408;4375;8783;12643;12429;25072;43663;43968;87631;10683;9752;20435;55324;56078;111402;121916;124030;245946;27397;27738;55135;6192;6481;12673;28752;25432;54184;16089;14596;30685;20256;20841;41097;15465;13666;29131
31.12.2019;49-Jährige;79335;78624;157959;95534;94604;190138;24111;23250;47361;18097;17483;35580;4652;4455;9107;13007;12662;25669;45645;45799;91444;10800;10108;20908;57910;58654;116564;127803;128619;256422;28736;28998;57734;6493;6593;13086;28496;25623;54119;16010;14975;30985;21306;21561;42867;15517;14220;29737
31.12.2019;50-Jährige;85330;83632;168962;103625;101251;204876;25259;24131;49390;18703;18262;36965;4988;4752;9740;13537;13092;26629;49217;48461;97678;11165;10536;21701;63257;63067;126324;140124;140394;280518;31249;31293;62542;7238;7356;14594;28379;26078;54457;16480;15526;32006;23598;23945;47543;15596;14424;30020
31.12.2019;51-Jährige;88814;87347;176161;108106;105063;213169;26323;25335;51658;19707;19379;39086;5230;5072;10302;14560;13961;28521;51713;50521;102234;11810;11390;23200;66458;65989;132447;146608;146669;293277;33150;32948;66098;7724;7909;15633;28665;26706;55371;16902;15928;32830;24957;25467;50424;15673;14876;30549
31.12.2019;52-Jährige;90918;88670;179588;110298;107586;217884;26467;25453;51920;20845;20411;41256;5291;5057;10348;14516;14129;28645;52115;51538;103653;12131;12066;24197;68150;68339;136489;150082;149416;299498;33754;34005;67759;8049;8127;16176;29571;27643;57214;17437;16842;34279;25998;26254;52252;16001;15611;31612
31.12.2019;53-Jährige;92597;90516;183113;110721;108216;218937;27108;26818;53926;22210;22019;44229;5488;5177;10665;14602;14249;28851;53168;52310;105478;13201;12942;26143;69568;69055;138623;153512;152559;306071;35477;34853;70330;8431;8405;16836;30846;29647;60493;18198;17462;35660;26018;26445;52463;17213;16577;33790
31.12.2019;54-Jährige;92319;89536;181855;110137;106677;216814;28108;27284;55392;23361;22696;46057;5443;5245;10688;14005;13762;27767;53006;52417;105423;14003;13702;27705;69068;67978;137046;152472;151532;304004;35319;35033;70352;8405;8769;17174;32153;30716;62869;18871;18485;37356;25383;26206;51589;17592;17269;34861
31.12.2019;55-Jährige;93400;90738;184138;110871;108879;219750;28279;27830;56109;24298;23541;47839;5378;5183;10561;14179;13937;28116;53456;52386;105842;14695;14392;29087;68846;68985;137831;154249;152985;307234;35995;35753;71748;8633;8979;17612;32849;32542;65391;19479;19361;38840;25998;26018;52016;18540;18178;36718
31.12.2019;56-Jährige;91820;89441;181261;108375;107732;216107;28068;27695;55763;24879;24353;49232;5079;5225;10304;13442;13365;26807;52230;51420;103650;15209;15067;30276;67791;67590;135381;150600;150111;300711;36041;35546;71587;8746;8912;17658;33459;32657;66116;20256;19884;40140;24852;25554;50406;18805;18738;37543
31.12.2019;57-Jährige;88335;86544;174879;104337;104391;208728;26584;26309;52893;24573;24128;48701;5013;5082;10095;12383;12503;24886;49775;49500;99275;15115;15045;30160;64922;65559;130481;143630;144111;287741;34781;34802;69583;8665;8818;17483;32747;32152;64899;19696;19908;39604;23642;24209;47851;18567;18562;37129
31.12.2019;58-Jährige;85620;85534;171154;102486;102382;204868;24804;25172;49976;24122;23887;48009;4701;4820;9521;11690;12050;23740;47915;48375;96290;15267;15204;30471;64239;64623;128862;139330;141950;281280;34438;34625;69063;8874;8792;17666;32230;32534;64764;19668;19777;39445;22897;23675;46572;18984;19187;38171
31.12.2019;59-Jährige;82291;83258;165549;97868;97999;195867;24141;23642;47783;22858;23015;45873;4578;4712;9290;11414;11568;22982;46190;46620;92810;14676;15010;29686;60943;61825;122768;135609;138677;274286;32880;33714;66594;8356;8629;16985;30894;31166;62060;19098;19115;38213;21742;22543;44285;18025;18235;36260
31.12.2019;60-Jährige;78798;79374;158172;94136;94572;188708;22763;22831;45594;22489;22245;44734;4386;4656;9042;10679;11024;21703;44395;45032;89427;14249;14605;28854;58845;59987;118832;131197;134760;265957;31945;32143;64088;8627;8508;17135;30349;31083;61432;18303;18991;37294;21029;21880;42909;18032;18196;36228
31.12.2019;61-Jährige;74479;75272;149751;88773;89828;178601;20633;21009;41642;20470;20475;40945;4210;4451;8661;10078;10556;20634;41865;42679;84544;13502;13715;27217;55188;56321;111509;123739;127569;251308;30050;30541;60591;8148;8266;16414;27759;28894;56653;17201;17675;34876;19779;20415;40194;16625;16960;33585
31.12.2019;62-Jährige;71754;72815;144569;85124;87186;172310;19558;20255;39813;19844;19898;39742;4139;4451;8590;9473;10078;19551;40484;41566;82050;13062;13295;26357;53633;55469;109102;120310;124033;244343;29654;29962;59616;7836;7931;15767;27442;28830;56272;16728;17586;34314;18793;20236;39029;16423;16910;33333
31.12.2019;63-Jährige;68871;71346;140217;81555;83367;164922;18974;19914;38888;19563;19770;39333;3891;4208;8099;8920;9629;18549;38582;40081;78663;12859;13517;26376;51258;52950;104208;114505;119823;234328;28137;28971;57108;7388;7654;15042;27699;29273;56972;16608;18074;34682;17776;18943;36719;16585;17266;33851
31.12.2019;64-Jährige;64391;67604;131995;75510;79328;154838;18359;19871;38230;19422;19868;39290;3722;4127;7849;8398;9009;17407;36419;38473;74892;12995;13701;26696;49085;51036;100121;107847;115625;223472;26860;28003;54863;6938;7310;14248;28381;30484;58865;17308;18109;35417;17184;18531;35715;16485;17439;33924
31.12.2019;65-Jährige;60800;66017;126817;72337;77933;150270;17682;19809;37491;18771;19729;38500;3536;4035;7571;7936;8883;16819;35079;37791;72870;12962;13513;26475;47117;50484;97601;104091;113560;217651;26088;27407;53495;6924;7407;14331;27669;30452;58121;16733;17701;34434;16817;18534;35351;16098;17151;33249
31.12.2019;66-Jährige;57574;63563;121137;68675;74907;143582;16985;19415;36400;18275;19386;37661;3408;3852;7260;7415;8566;15981;32744;36154;68898;12530;13360;25890;45208;48612;93820;97403;108261;205664;24996;26781;51777;6749;7178;13927;27562;30558;58120;16397;18062;34459;16220;17427;33647;15964;16999;32963
31.12.2019;67-Jährige;57043;63158;120201;68070;75389;143459;16353;19338;35691;17596;18922;36518;3300;3863;7163;7471;8609;16080;32831;36445;69276;11881;13026;24907;45279;48748;94027;95218;106806;202024;24863;26250;51113;6597;6968;13565;28001;30860;58861;16113;17728;33841;15949;17410;33359;15657;16853;32510
31.12.2019;68-Jährige;55048;60904;115952;65366;72524;137890;16406;19606;36012;17186;18140;35326;3339;3870;7209;7182;8527;15709;31883;35771;67654;11451;12512;23963;44399;47780;92179;91041;102966;194007;24160;25560;49720;6237;6777;13014;28003;31749;59752;15145;17153;32298;15935;17312;33247;15438;16748;32186
31.12.2019;69-Jährige;54416;61303;115719;65769;72804;138573;16774;20454;37228;15709;17242;32951;3317;3825;7142;7355;8786;16141;32664;36235;68899;10652;11431;22083;44119;47419;91538;90436;102158;192594;24208;25719;49927;6328;6749;13077;26719;30295;57014;14763;16729;31492;15834;17526;33360;14278;16071;30349
31.12.2019;70-Jährige;53399;59529;112928;63490;70850;134340;15728;18862;34590;13222;14566;27788;3318;3839;7157;7338;8710;16048;32052;35835;67887;9031;9930;18961;43351;46528;89879;89678;100866;190544;23025;24754;47779;6426;6849;13275;23002;26523;49525;12754;15018;27772;15743;17164;32907;12684;14036;26720
31.12.2019;71-Jährige;49159;54050;103209;60135;66760;126895;14392;17080;31472;11329;12395;23724;3072;3516;6588;7172;8330;15502;30040;33251;63291;7690;8517;16207;39763;42672;82435;80694;91892;172586;19619;21139;40758;5401;5853;11254;18245;21240;39485;10671;12543;23214;15099;16847;31946;10749;12147;22896
31.12.2019;72-Jährige;44935;50310;95245;58199;64746;122945;13218;16108;29326;10480;11988;22468;2850;3416;6266;6916;7904;14820;27532;31262;58794;6979;7924;14903;35351;39163;74514;73285;84298;157583;17088;18761;35849;4359;4794;9153;17649;21440;39089;10296;12274;22570;13858;15477;29335;10051;11596;21647
31.12.2019;73-Jährige;38506;43775;82281;49770;57279;107049;10479;12134;22613;6963;8067;15030;2866;3226;6092;6188;7304;13492;23344;26353;49697;4651;5170;9821;32235;36315;68550;65629;77119;142748;15014;16638;31652;3382;3922;7304;13216;15853;29069;8124;9791;17915;12715;14561;27276;7996;9604;17600
31.12.2019;74-Jährige;32242;37606;69848;39559;45944;85503;11333;13838;25171;7954;9660;17614;2158;2618;4776;5400;6603;12003;18996;21918;40914;4743;5673;10416;25099;28444;53543;53489;65183;118672;12146;14090;26236;3058;3582;6640;14982;18909;33891;8030;10030;18060;10099;12051;22150;7397;9003;16400
31.12.2019;75-Jährige;41475;48525;90000;50969;58700;109669;14715;17982;32697;11650;14336;25986;2693;3200;5893;6747;8154;14901;24954;28980;53934;6932;8445;15377;32593;38290;70883;68607;83301;151908;15665;18350;34015;4029;4884;8913;21792;26998;48790;11036;13918;24954;13395;15611;29006;10613;12989;23602
31.12.2019;76-Jährige;40689;49182;89871;49929;58303;108232;15371;18997;34368;12466;15058;27524;2833;3250;6083;6719;8183;14902;24314;28388;52702;7348;9137;16485;33366;38742;72108;67423;82649;150072;15387;18042;33429;3833;4668;8501;20992;26698;47690;11253;14155;25408;13675;15978;29653;10512;12835;23347
31.12.2019;77-Jährige;39973;47377;87350;47355;56092;103447;14052;17687;31739;11657;14618;26275;2612;3359;5971;6381;7808;14189;22534;26809;49343;6797;8842;15639;31529;37240;68769;63969;79442;143411;14687;17410;32097;3645;4637;8282;18946;24614;43560;10716;13995;24711;12786;15210;27996;9366;12140;21506
